     DEPTH         AC        DEN         GR
   15.3750 -9999.0000 -9999.0000    92.1749
   15.5000 -9999.0000 -9999.0000    93.7236
   15.6250 -9999.0000 -9999.0000    94.4586
   15.7500 -9999.0000 -9999.0000    92.7969
   15.8750 -9999.0000 -9999.0000    88.4263
   16.0000 -9999.0000 -9999.0000    82.7433
   16.1250 -9999.0000 -9999.0000    79.3471
   16.2500 -9999.0000 -9999.0000    80.1743
   16.3750 -9999.0000 -9999.0000    84.7994
   16.5000 -9999.0000 -9999.0000    90.2387
   16.6250 -9999.0000 -9999.0000    93.8778
   16.7500 -9999.0000 -9999.0000    94.9468
   16.8750 -9999.0000 -9999.0000    94.3742
   17.0000 -9999.0000 -9999.0000    93.3309
   17.1250 -9999.0000 -9999.0000    92.0411
   17.2500 -9999.0000 -9999.0000    90.1497
   17.3750 -9999.0000 -9999.0000    87.8998
   17.5000 -9999.0000 -9999.0000    85.8300
   17.6250 -9999.0000 -9999.0000    83.9835
   17.7500 -9999.0000 -9999.0000    82.2258
   17.8750 -9999.0000 -9999.0000    80.7679
   18.0000 -9999.0000 -9999.0000    79.6845
   18.1250 -9999.0000 -9999.0000    78.2248
   18.2500 -9999.0000 -9999.0000    76.0670
   18.3750 -9999.0000 -9999.0000    74.4997
   18.5000 -9999.0000 -9999.0000    74.7866
   18.6250 -9999.0000 -9999.0000    76.3534
   18.7500 -9999.0000 -9999.0000    77.5173
   18.8750 -9999.0000 -9999.0000    77.1948
   19.0000 -9999.0000 -9999.0000    76.1757
   19.1250 -9999.0000 -9999.0000    75.9239
   19.2500 -9999.0000 -9999.0000    77.3908
   19.3750 -9999.0000 -9999.0000    79.4308
   19.5000 -9999.0000 -9999.0000    81.0989
   19.6250 -9999.0000 -9999.0000    81.7596
   19.7500 -9999.0000 -9999.0000    81.4581
   19.8750 -9999.0000 -9999.0000    80.5086
   20.0000 -9999.0000 -9999.0000    79.4163
   20.1250 -9999.0000 -9999.0000    79.0009
   20.2500 -9999.0000 -9999.0000    79.6323
   20.3750 -9999.0000 -9999.0000    80.6839
   20.5000 -9999.0000 -9999.0000    81.3480
   20.6250 -9999.0000 -9999.0000    81.0751
   20.7500 -9999.0000 -9999.0000    80.0999
   20.8750 -9999.0000 -9999.0000    78.7461
   21.0000 -9999.0000 -9999.0000    77.5807
   21.1250 -9999.0000 -9999.0000    77.4453
   21.2500 -9999.0000 -9999.0000    78.7535
   21.3750 -9999.0000 -9999.0000    80.1559
   21.5000 -9999.0000 -9999.0000    80.1026
   21.6250 -9999.0000 -9999.0000    78.9756
   21.7500 -9999.0000 -9999.0000    78.2527
   21.8750 -9999.0000 -9999.0000    78.2095
   22.0000 -9999.0000 -9999.0000    78.1781
   22.1250 -9999.0000 -9999.0000    78.2677
   22.2500 -9999.0000 -9999.0000    79.3345
   22.3750 -9999.0000 -9999.0000    81.4399
   22.5000 -9999.0000 -9999.0000    82.9496
   22.6250 -9999.0000 -9999.0000    83.0472
   22.7500 -9999.0000 -9999.0000    82.1482
   22.8750 -9999.0000 -9999.0000    80.3531
   23.0000 -9999.0000 -9999.0000    77.4591
   23.1250 -9999.0000 -9999.0000    74.4613
   23.2500 -9999.0000 -9999.0000    73.3074
   23.3750 -9999.0000 -9999.0000    75.5510
   23.5000 -9999.0000 -9999.0000    79.5038
   23.6250 -9999.0000 -9999.0000    82.8197
   23.7500 -9999.0000 -9999.0000    84.0501
   23.8750 -9999.0000 -9999.0000    83.6752
   24.0000 -9999.0000 -9999.0000    83.1388
   24.1250 -9999.0000 -9999.0000    83.4148
   24.2500 -9999.0000 -9999.0000    83.9886
   24.3750 -9999.0000 -9999.0000    84.4190
   24.5000 -9999.0000 -9999.0000    84.9098
   24.6250 -9999.0000 -9999.0000    86.1036
   24.7500 -9999.0000 -9999.0000    87.2707
   24.8750 -9999.0000 -9999.0000    85.8349
   25.0000 -9999.0000 -9999.0000    82.3007
   25.1250 -9999.0000 -9999.0000    80.4089
   25.2500 -9999.0000 -9999.0000    81.8421
   25.3750 -9999.0000 -9999.0000    83.5467
   25.5000 -9999.0000 -9999.0000    81.7550
   25.6250 -9999.0000 -9999.0000    78.1920
   25.7500 -9999.0000 -9999.0000    74.6824
   25.8750 -9999.0000 -9999.0000    70.5683
   26.0000 -9999.0000 -9999.0000    65.7025
   26.1250 -9999.0000 -9999.0000    61.2997
   26.2500 -9999.0000 -9999.0000    58.8038
   26.3750 -9999.0000 -9999.0000    57.9942
   26.5000 -9999.0000 -9999.0000    58.1254
   26.6250 -9999.0000 -9999.0000    57.8300
